state,district,scenario,year,risk_rank,overall_risk_score,overall_risk_class,flood_hazard_score,drought_hazard_score,ag_stress_score
TELANGANA,KHAMMAM,ssp245,2040,35,15.21,Low Risk,11.93,11.14,23.79
MAHARASHTRA,WARDHA,ssp245,2040,36,15.17,Low Risk,40.62,2.73,0.0
MAHARASHTRA,JALGAON,ssp245,2040,37,15.13,Low Risk,28.21,8.48,7.62
BIHAR,PASHCHIM CHAMPARAN,ssp245,2040,38,15.08,Low Risk,39.95,3.14,0.0
MAHARASHTRA,GONDIA,ssp245,2040,39,14.8,Low Risk,41.96,0.33,0.0
BIHAR,BHAGALPUR,ssp245,2040,40,14.72,Low Risk,27.87,14.2,0.0
MAHARASHTRA,NAGPUR,ssp245,2040,41,14.62,Low Risk,40.95,0.82,0.0
MAHARASHTRA,GADCHIROLI,ssp245,2040,42,14.26,Low Risk,39.44,0.98,0.38
MAHARASHTRA,DHULE,ssp245,2040,43,13.89,Low Risk,24.74,9.06,6.86
MAHARASHTRA,CHANDRAPUR,ssp245,2040,44,13.67,Low Risk,37.34,1.72,0.0
BIHAR,PURNIA,ssp245,2040,45,13.51,Low Risk,38.23,0.38,0.0
TELANGANA,MANCHERIAL,ssp245,2040,46,13.44,Low Risk,38.17,0.23,0.0
BIHAR,BUXAR,ssp245,2040,47,13.43,Low Risk,15.71,22.65,0.0
MAHARASHTRA,BEED,ssp245,2040,48,13.28,Low Risk,6.64,13.12,21.22
MAHARASHTRA,WASHIM,ssp245,2040,49,13.13,Low Risk,33.59,3.92,0.0
TELANGANA,JAYASHANKAR BHUPALPALLI,ssp245,2040,50,12.52,Low Risk,35.76,0.0,0.0
MAHARASHTRA,DHARASHIV,ssp245,2040,51,12.41,Low Risk,5.57,12.47,20.33
MAHARASHTRA,YAVATMAL,ssp245,2040,52,12.33,Low Risk,31.79,3.43,0.0
MAHARASHTRA,BULDHANA,ssp245,2040,53,12.26,Low Risk,29.16,5.86,0.0
BIHAR,MUNGER,ssp245,2040,54,11.95,Low Risk,32.49,1.65,0.0
BIHAR,AURANGABAD,ssp245,2040,55,11.21,Low Risk,30.18,1.84,0.0
MAHARASHTRA,AHILYANAGAR,ssp245,2040,56,11.1,Low Risk,22.71,7.92,1.27
TELANGANA,ADILABAD,ssp245,2040,57,10.82,Low Risk,29.3,1.62,0.0
BIHAR,KHAGARIA,ssp245,2040,58,10.77,Low Risk,28.75,2.03,0.0
BIHAR,KATIHAR,ssp245,2040,59,10.66,Low Risk,29.39,1.07,0.0
BIHAR,SITAMARHI,ssp245,2040,60,10.6,Low Risk,26.28,4.01,0.0
BIHAR,ROHTAS,ssp245,2040,61,10.35,Low Risk,27.36,2.22,0.0
MAHARASHTRA,HINGOLI,ssp245,2040,62,10.18,Low Risk,23.48,5.61,0.0
TELANGANA,PEDDAPALLI,ssp245,2040,63,10.14,Low Risk,28.8,0.16,0.0
BIHAR,SHEOHAR,ssp245,2040,64,10.08,Low Risk,24.23,4.56,0.0
BIHAR,KAIMUR (BHABUA),ssp245,2040,65,10.05,Low Risk,26.32,2.4,0.0
BIHAR,BHOJPUR,ssp245,2040,66,9.95,Low Risk,14.2,14.23,0.0
TELANGANA,KARIMNAGAR,ssp245,2040,67,9.86,Low Risk,28.07,0.09,0.0
MAHARASHTRA,JALNA,ssp245,2040,68,9.57,Low Risk,21.56,5.77,0.0
BIHAR,ARWAL,ssp245,2040,69,9.56,Low Risk,24.81,2.5,0.0
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp245,2040,70,9.04,Low Risk,17.62,8.2,0.0
BIHAR,LAKHISARAI,ssp245,2040,71,8.89,Low Risk,24.11,1.28,0.0
