district,scenario,overall_risk_2030,overall_risk_2035,overall_risk_2040,flood_risk_2030,flood_risk_2035,flood_risk_2040,drought_risk_2030,drought_risk_2035,drought_risk_2040,agstress_2030,agstress_2035,agstress_2040,temperature_change_2030,temperature_change_2035,temperature_change_2040,rainfall_change_2030,rainfall_change_2035,rainfall_change_2040
PUNE,ssp585,19.19,38.66,58.06,37.86,38.28,38.7,11.25,30.86,48.44,6.66,48.21,91.88,0.6150857104195773,1.0650857104195772,1.5150857104195772,4.83,6.12,7.41
RAIGAD,ssp245,55.21,56.56,62.16,97.74,98.33,98.92,60.0,61.15,66.6,0.0,2.46,14.1,0.3352134870158458,0.5852134870158459,0.8352134870158459,4.66,5.95,7.24
RAIGAD,ssp585,66.49,80.38,98.13,97.74,98.33,98.92,71.39,85.21,100.0,24.31,53.82,95.03,0.6352134870158459,1.085213487015846,1.5352134870158458,4.66,5.95,7.24
RATNAGIRI,ssp245,64.39,75.48,83.82,99.82,100.0,100.0,68.54,79.67,88.09,18.22,42.0,59.97,0.3278515418370595,0.5778515418370596,0.8278515418370596,5.15,6.445,7.74
RATNAGIRI,ssp585,81.23,90.2,100.0,99.82,100.0,100.0,85.53,94.52,100.0,54.51,73.71,100.0,0.6278515418370596,1.0778515418370596,1.5278515418370595,5.15,6.44,7.74
SANGLI,ssp245,7.61,16.93,32.77,17.04,17.76,18.47,4.7,13.87,29.64,0.0,19.52,53.12,0.2843440453211592,0.5343440453211592,0.7843440453211592,5.01,6.305,7.6
SANGLI,ssp585,25.1,40.38,52.1,17.04,17.76,18.47,22.35,37.55,44.75,37.7,70.08,99.9,0.5843440453211592,1.0343440453211592,1.4843440453211592,5.01,6.3,7.6
SATARA,ssp245,18.07,18.74,27.07,44.48,45.57,46.66,7.15,7.49,15.56,0.0,0.55,17.63,0.3314131809605563,0.5814131809605563,0.8314131809605563,5.14,6.4350000000000005,7.73
SATARA,ssp585,27.17,46.51,61.63,44.48,45.57,46.66,16.34,35.53,47.3,19.6,60.42,95.81,0.6314131809605563,1.0814131809605565,1.5314131809605562,5.14,6.43,7.73
SINDHUDURG,ssp245,65.58,77.5,84.36,98.22,99.2,99.42,69.04,80.75,87.61,23.45,48.39,63.0,0.310854793919475,0.560854793919475,0.810854793919475,5.48,6.78,8.08
SINDHUDURG,ssp585,81.37,88.97,99.14,98.22,99.2,99.42,84.99,92.33,98.11,57.48,73.13,100.0,0.6108547939194751,1.060854793919475,1.510854793919475,5.48,6.78,8.08
SOLAPUR,ssp245,2.3,2.31,22.68,3.07,3.13,3.29,3.51,3.47,23.96,0.0,0.0,43.82,0.2139089087645302,0.4639089087645303,0.7139089087645303,4.75,6.04,7.33
SOLAPUR,ssp585,13.05,38.0,43.18,3.07,3.13,3.29,14.36,39.5,43.43,23.18,76.93,89.42,0.5139089087645303,0.9639089087645304,1.4139089087645302,4.75,6.04,7.33
THANE,ssp245,37.14,37.35,38.7,96.43,96.85,97.18,9.69,9.87,11.2,0.0,0.0,2.55,0.3009898112879909,0.550989811287991,0.800989811287991,5.82,7.12,8.42
THANE,ssp585,45.98,55.22,74.79,96.43,96.85,97.18,18.61,27.91,47.63,19.04,38.53,80.34,0.600989811287991,1.050989811287991,1.500989811287991,5.82,7.12,8.42
WARDHA,ssp245,14.9,15.04,15.17,39.8,40.21,40.62,2.78,2.75,2.73,0.0,0.0,0.0,0.2233064850171615,0.4733064850171615,0.7233064850171615,7.7,9.025,10.35
WARDHA,ssp585,14.9,18.66,35.38,39.8,40.21,40.62,2.78,6.41,23.13,0.0,7.81,43.55,0.5233064850171616,0.9733064850171615,1.4233064850171615,7.7,9.02,10.35
