state,district,scenario,year,overall_risk_score,overall_risk_class,climate_confidence_score,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,annual_rainfall_change_pct,temperature_anomaly,soil_moisture_deficit,water_security_index,heat_stress_days_35,cdd,cwd,extreme_rainfall_change_pct
TELANGANA,BHADRADRI KOTHAGUDEM,ssp585,2030,8.15,Low Risk,,21.08,Low,2.2,Low,0.0,Low,1.0196,2.91,0.5507238268852348,0.0,50.98,145.9,65.58676779487448,18.663528531363546,2.91
TELANGANA,HANUMAKONDA,ssp585,2030,6.49,Low Risk,,18.43,Low,0.1,Low,0.0,Low,1.0779,7.84,,0.0,53.9,33.3,57.708738033059284,12.071644194694365,7.84
TELANGANA,HYDERABAD,ssp585,2030,23.44,Low Risk,,15.0,Low,51.98,High,0.0,Low,1.0553,5.55,,0.0,52.76,33.3,64.73665038551188,10.413809719278268,5.55
TELANGANA,JAGTIAL,ssp585,2030,8.06,Low Risk,,22.86,Low,0.17,Low,0.0,Low,1.0892,9.72,,0.0,54.46,33.3,57.990003418164235,13.648111036745128,9.72
TELANGANA,JANGAON,ssp585,2030,4.71,Low Risk,,12.16,Low,1.31,Low,0.0,Low,1.0977,8.3,0.5101129571596907,0.0,54.88,154.0,62.24562271928389,13.295191284247872,8.3
TELANGANA,JAYASHANKAR BHUPALPALLI,ssp585,2030,12.29,Low Risk,,35.08,Moderate,0.04,Low,0.0,Low,1.0393,5.11,,0.0,51.96,33.3,57.51012743603269,17.950785348607607,5.11
TELANGANA,JOGULAMBA GADWAL,ssp585,2030,12.12,Low Risk,,0.1,Low,23.33,Low,13.07,Low,1.0009,-0.28,,0.0013934779231770205,49.43,33.3,70.45543440675698,11.982904062252945,-0.28
TELANGANA,KAMAREDDY,ssp585,2030,24.57,Low Risk,,18.58,Low,51.61,High,0.0,Low,1.1058,11.18,0.5325368338161127,0.0,55.29,115.4,63.37852894412521,18.340309424948988,11.18
TELANGANA,KARIMNAGAR,ssp585,2030,9.55,Low Risk,,26.9,Moderate,0.38,Low,0.0,Low,1.0966,8.63,0.4886242177751498,0.0,54.83,135.0,58.75709034554391,17.853562707502803,8.63
TELANGANA,KHAMMAM,ssp585,2030,3.81,Low Risk,,10.71,Low,0.17,Low,0.0,Low,1.041,5.1,0.5507238268852348,0.0,52.05,145.9,57.99021336394362,14.638525630503544,5.1
TELANGANA,KUMURAM BHEEM,ssp585,2030,16.01,Low Risk,,43.31,Moderate,2.43,Low,0.0,Low,1.044,6.02,0.5445556435320278,0.0,52.2,134.0,66.42038333389084,18.35547780522647,6.02
TELANGANA,MAHABUBABAD,ssp585,2030,4.25,Low Risk,,11.96,Low,0.18,Low,0.0,Low,1.0573,6.16,,0.0,52.86,33.3,58.024865001099535,12.880190856572614,6.16
TELANGANA,MAHBUBNAGAR,ssp585,2030,18.94,Low Risk,,0.0,Low,54.12,High,0.0,Low,1.0352,1.86,,0.0,51.76,33.3,72.74903467283873,12.113958030893357,1.86
TELANGANA,MANCHERIAL,ssp585,2030,13.36,Low Risk,,37.65,Moderate,0.51,Low,0.0,Low,1.0479,6.11,,0.0,52.4,33.3,59.26369788907764,16.76948061234979,6.11
TELANGANA,MEDAK,ssp585,2030,23.9,Low Risk,,18.19,Low,50.1,High,0.0,Low,1.1039,9.36,,0.0,55.2,33.3,57.73003948270395,17.304523514791068,9.36
